"Case Number","Title","Category","Status","Staff Pick","Published At","Word Count","Citation Count","Tags","Teaser","Verified Sources"
"CB-000018","Dillon Awes: Texas Pastor Calls for Execution of Gay People, Then His Own Church Implodes","religion","published","No","2026-03-22","845","0","Stedfast Baptist Church, anti-LGBT hate group, execution sermon, church split, Southern Poverty Law Center, Independent Fundamental Baptist, Texas","Pastor Dillon Awes of Stedfast Baptist Church delivered a sermon calling for gay people to be shot in the back of the head. Shortly after, his church's lead pastor was exposed for soliciting prostitutes and gambling, forcing the congregation to fracture.","Dillon Awes: Stedfast Baptist Sermon on Homosexuality (2022) :: Awes, D. (2022). Sermon: homosexuality and the death penalty. Stedfast Baptist Church, Fort Worth, Texas.; Stedfast Baptist Church Split: Official Pastoral Record :: Stedfast Baptist Church Leadership. (2023). Pastoral transition record. Stedfast Baptist Church, Fort Worth, Texas."
"CB-000019","Jonathan Shelley: Texas Pastor Demanded Death for Gay People, Then Got Caught Soliciting Prostitutes","religion","published","No","2026-03-22","898","0","Jonathan Shelley, Stedfast Baptist Church, capital punishment, homosexuality, prostitution, church split, Texas, Arlington City Council, Independent Fundamental Baptist, religious hypocrisy","Jonathan Shelley, lead pastor of Stedfast Baptist Church in Watauga, Texas, told an Arlington City Council meeting that God requires the government to execute gay people. His personal conduct, which included soliciting prostitutes and gambling, later forced the very congregation he led to split.","Jonathan Shelley: Public Sermon Record (2021-2022) :: Shelley, J. (2021-2022). Publicly distributed sermons on death penalty for homosexuality and prostitution. Stedfast Baptist Church, Hurst, Texas."
"CB-000020","Kenneth Copeland Blows COVID Away on Live TV, Asks Fans to Pay for the Jet He Used to Avoid Them","religion","published","No","2026-03-22","922","0","kenneth copeland, covid-19, televangelism, prosperity gospel, private jets, faith healing, word of faith, pandemic misinformation","Televangelist Kenneth Copeland, whose ministry funds support a reported three private jets, conducted a live televised ritual in April 2020 claiming to destroy COVID-19 by blowing through a camera. The same man who called commercial air travel a tube full of demons has spent years asking followers to finance his ability to avoid them.","Kenneth Copeland: COVID Wind of God Broadcast (April 2020) :: Copeland, K. (2020, April 5). Broadcast sermon. Victory Channel / Kenneth Copeland Ministries, Fort Worth, Texas."
"CB-000021","Televangelist Jesse Duplantis Asks Followers to Buy Him a Fourth Private Jet Because Jesus Wouldn't Ride a Donkey","religion","published","No","2026-03-22","911","0","Jesse Duplantis, prosperity gospel, private jet, televangelism, fundraising, religious accountability, Louisiana","Louisiana televangelist Jesse Duplantis, already the owner of three private jets, broadcast a fundraising appeal in May 2018 asking his followers to collectively purchase him a $54 million Dassault Falcon 7X. His theological justification: Jesus, were He alive today, would not be caught dead on a donkey.","Jesse Duplantis Ministries: Private Jet Partner Letter (2018) :: Duplantis, J. (2018, May). Partner letter fundraising appeal: Project G650. Jesse Duplantis Ministries, Destrehan, Louisiana."
"CB-000022","Paula White Calls on Angels From Two Continents to Overturn an Election She Did Not Win","religion","published","No","2026-03-22","856","0","paula white, 2020 election, prayer, angels, white house faith initiative, trump, prosperity gospel, evangelical hypocrisy","Trump's personal pastor and White House faith adviser delivered a prayer on November 5, 2020 invoking angels from Africa and South America to intervene in U.S. election results. The spectacle raised pointed questions about the relationship between prophetic urgency and democratic theology.","Paula White: Election Prayer Broadcast (November 2020) :: White, P. (2020, November). Broadcast prayer service. Paula White Ministries / White House Faith and Opportunity Initiative."
"CB-000023","Greg Locke Divorced His Wife of 21 Years and Married His Secretary, Having Previously Condemned Pastors Who Do Exactly That","religion","published","No","2026-03-22","876","0","greg-locke, divorce, remarriage, evangelical, global-vision-bible-church, pastoral-hypocrisy, tennessee","Greg Locke spent years publicly shaming other pastors for moral failures involving divorce and remarriage. Then he divorced his wife of 21 years and married his church secretary within the same calendar year.","Greg Locke: Global Vision Bible Church Public Announcement (2022) :: Locke, G. (2022). Public pastoral statement and church announcement. Global Vision Bible Church, Mt. Juliet, Tennessee."
"CB-000024","Celebrity Pastor Carl Lentz Fired From Hillsong New York After Admitting Infidelity, Later Accused of Sexual Coercion","religion","published","No","2026-03-22","1027","0","carl-lentz, hillsong, megachurch, infidelity, sexual-coercion, celebrity-pastor, moral-failure, evangelical","Carl Lentz built a celebrity-studded congregation at Hillsong New York on a foundation of preaching sexual integrity and moral leadership. In November 2020, he was fired for moral failures and later admitted to infidelity. A former housekeeper subsequently filed a lawsuit alleging sexual coercion.","Hillsong NYC: Carl Lentz Termination Official Statement (November 2020) :: Hillsong Church Leadership. (2020, November 4). Official pastoral statement: Carl Lentz. Hillsong NYC."
"CB-000025","Hillsong Founder Brian Houston Resigns After Investigation Finds Misconduct Toward Women, Failure to Report Father's Abuse","religion","published","No","2026-03-22","976","0","hillsong, brian-houston, church-misconduct, evangelical, resignation, child-abuse-reporting-failure, religious-hypocrisy, australia","Brian Houston, the man who built Hillsong Church into a global moral authority, resigned in March 2022 after an independent investigation found he had behaved inappropriately toward two women and failed to report his own father's child sexual abuse to police. The irony of a family-values empire collapsing under its founder's personal conduct failures is substantial. This is not a minor footnote.","Hillsong Church: Brian Houston Resignation Statement (March 2022) :: Hillsong Church Global Board. (2022, March 23). Official board statement: Brian Houston resignation. Hillsong Church International, Sydney, Australia.; Australian Charities and Not-for-profits Commission: Hillsong Governance Record :: Australian Charities and Not-for-profits Commission. (2022). Regulatory record. Hillsong Church, Australia."
"CB-000026","Creflo Dollar's $65 Million Prayer: Pastor Asks Flock to Buy Him a Third Jet","religion","published","No","2026-03-22","983","0","prosperity gospel, Creflo Dollar, World Changers Church International, private jet, Gulfstream G650, televangelism, fundraising, financial hypocrisy","Prosperity gospel pastor Creflo Dollar launched a campaign in March 2015 asking supporters to collectively donate $65 million for a Gulfstream G650 private jet. Dollar was already operating two Gulfstream jets at the time and simultaneously preaching that giving to his ministry was the key to personal financial blessing.","World Changers Church International: Gulfstream G650 Fundraising Campaign (2015) :: Dollar, C. (2015, March). Public fundraising appeal: Project G650. World Changers Church International / Creflo Dollar Ministries, College Park, Georgia."
"CB-000028","Mark Driscoll Built Two Churches on Accountability Theology, Then Failed Every Accountability Test","religion","published","No","2026-03-22","1052","0","Mark Driscoll, Mars Hill Church, Trinity Church, spiritual abuse, pastoral accountability, megachurch, evangelical, complementarianism, financial misconduct, religious hypocrisy","Mark Driscoll preached male authority, spiritual submission, and pastoral accountability for two decades while systematically avoiding all three. After being forced out of Mars Hill Church in Seattle, he simply founded a new church in Scottsdale and ran the same playbook.","Mars Hill Church: Official Dissolution Statement (October 2014) :: Mars Hill Church Leadership. (2014, October 31). Official Statement: Mars Hill Church Dissolution. Seattle, Washington.; Acts 29 Network: Mars Hill Removal Statement (August 2014) :: Acts 29 Network. (2014, August 8). Official Statement: Removal of Mars Hill Church from Acts 29 Network."
"CB-000029","NewSpring Founder Perry Noble Fired Over Alcohol Abuse After Preaching Discipline From the Pulpit","religion","published","No","2026-03-22","838","0","megachurch, alcohol abuse, NewSpring Church, South Carolina, pastoral accountability, evangelical, fired","Perry Noble built one of South Carolina's largest megachurches by preaching personal discipline and the dangers of addiction. In July 2016, his own board of directors fired him for alcohol abuse and its effects on his marriage.","NewSpring Church: Perry Noble Termination Statement (July 2016) :: NewSpring Church Board of Directors. (2016, July 9). Official Board Statement: Pastoral Leadership Transition. NewSpring Church, Anderson, South Carolina."
"CB-000060","No, Black Americans Do Not Commit More Violent Crime. ClownBinge Deconstructs the Racist Narratives That Hurt, With Empirical Data.","nerd_out","published","No","2026-03-22","1955","9","criminal-justice, racial-disparity, FBI-data, policing, wrongful-convictions, poverty, structural-racism, empirical-analysis","The claim circulates at congressional hearings and cable news panels: FBI data proves Black Americans commit more violent crime. The primary sources say otherwise. Here is what the Bureau of Justice Statistics, the Stanford Open Policing Project, the National Registry of Exonerations, and federal health surveys actually show.","Bureau of Justice Statistics: National Crime Data :: Bureau of Justice Statistics. (2024). National Crime Victimization Survey and Crime Statistics. U.S. Department of Justice, Washington, D.C.; Stanford Open Policing Project: Traffic Stop Data :: Stanford Open Policing Project. (2024). Research on Racial Disparities in Policing. Stanford University, Stanford, California.; National Registry of Exonerations: Exoneration Records :: National Registry of Exonerations. (2024). Exoneration Records Database. University of Michigan Law School and Michigan State University College of Law."
"CB-000030","Harvest Spoiled: James MacDonald Fired After Recordings, Fraud Allegations, and a Hunting Ranch on the Lord's Dime","religion","published","No","2026-03-22","950","0","james macdonald, harvest bible chapel, megachurch, spiritual abuse, insurance fraud, financial misconduct, evangelical, accountability","James MacDonald built Harvest Bible Chapel into a congregation of 13,000 before his elders fired him in February 2019 after recordings captured him making vulgar statements about colleagues and a journalist. Subsequent reporting documented alleged insurance fraud, personal misuse of church funds, and years of spiritual abuse.","Harvest Bible Chapel: James MacDonald Termination Statement (February 2019) :: Harvest Bible Chapel Elder Board. (2019, February 12). Official Elder Board Statement: James MacDonald. Harvest Bible Chapel, Rolling Meadows, Illinois."
"CB-000031","Bishop Eddie Long, Crusader Against Same-Sex Marriage, Faces Lawsuits Alleging Sexual Coercion of Teenage Boys","religion","published","No","2026-03-22","1146","0","eddie long, new birth missionary baptist church, clergy misconduct, same-sex marriage, megachurch, georgia, religious hypocrisy, sexual misconduct allegations","Bishop Eddie Long built a national profile as a defender of traditional marriage and a vocal opponent of same-sex relationships. In September 2010, four young men filed lawsuits alleging he had used his spiritual authority and material gifts to coerce them into sexual relationships that began when they were teenagers. The gap between the pulpit and the allegations was not subtle.","Fulton County Superior Court: Eddie Long Sexual Misconduct Civil Suits (2010-2011) :: Fulton County Superior Court, Georgia. (2010-2011). Civil Complaints: Spencer LeGrande v. Bishop Eddie Long et al.; Jamal Parris v. Bishop Eddie Long et al."
"CB-000032","Ted Haggard: God's Loudest Anti-Gay Voice Was Paying a Male Escort for Three Years","religion","published","Yes","2026-03-22","807","0","ted-haggard, national-association-of-evangelicals, new-life-church, gay-marriage, evangelical, george-w-bush, colorado-springs, resignation, hypocrisy","Ted Haggard, president of the National Association of Evangelicals and a leading opponent of gay marriage, resigned in November 2006 after a male escort alleged Haggard had been his client for three years. The escort also alleged Haggard had purchased methamphetamine from him.","National Association of Evangelicals: Haggard Resignation Statement (November 2006) :: National Association of Evangelicals Board of Directors. (2006, November 3). Official Statement: Ted Haggard resignation as NAE President. National Association of Evangelicals, Washington, D.C.; New Life Church: Haggard Pastoral Termination (November 2006) :: New Life Church Restoration Team. (2006, November). Official Statement: Ted Haggard terminated as Senior Pastor. New Life Church, Colorado Springs, Colorado."
"CB-000033","Tony Spell: Louisiana Pastor Defies Government Authority, Then Cashes Government Check","religion","published","No","2026-03-22","913","0","covid-19, PPP loan, religious liberty, pandemic defiance, Louisiana, unlawful assembly, church and state, federal aid","Tony Spell rallied over 1,000 congregants in defiance of Louisiana's pandemic emergency order, declaring the government had no authority over his church. He then applied for and accepted a federal Paycheck Protection Program loan from that same government.","Livingston Parish Sheriff: Tony Spell Arrest (March 2020) :: Livingston Parish Sheriff, Louisiana. (2020, March 31). Arrest Report: Tony Spell. Charges: Second-degree misdemeanor for holding mass church gatherings in violation of Louisiana Governor Stay-at-Home Order. Life Tabernacle Church, Central, Louisiana.; SBA PPP Loan Records: Life Tabernacle Church :: U.S. Small Business Administration. (2020). Paycheck Protection Program Public Loan Data. Life Tabernacle Church, Central, Louisiana. (SBA publicly released full PPP recipient data.)"
"CB-000034","Rodney Howard-Browne: Pastor Who Preached Divine Healing Over Medicine Got Arrested for Spreading a Pandemic","religion","published","No","2026-03-22","858","0","covid-19, religious hypocrisy, public health, Rodney Howard-Browne, Tampa, divine healing, liability waiver, stay-at-home order, charismatic Christianity, First Amendment","Rodney Howard-Browne, founder of The River at Tampa Bay Church, was arrested in March 2020 after holding packed services in defiance of a county stay-at-home order. The pastor who taught that God's healing trumps medical authority had quietly required his own staff to sign legal liability waivers first.","Hillsborough County Sheriff: Rodney Howard-Browne Arrest (March 2020) :: Hillsborough County Sheriff Chad Chronister. (2020, March 30). Arrest Report: Rodney Howard-Browne. Charges: Unlawful assembly and violation of Hillsborough County Emergency Order BOCC 20-2. River at Tampa Bay Church, Tampa, Florida."
"CB-000005","Patricia Holden Voted to Ban Diversity Books. Her Daughter Was Already Enrolled in USC's Mandatory DEI Program.","self_owned","published","No","2026-03-22","487","1","school board, books, diversity, hypocrisy, south carolina","The same month the ban passed, enrollment deposits were due.","Palmetto County Board Records"
"CB-000002","Rep. Dale Hartwick Caught on C-SPAN Calling His Own Immigration Bill 'Political Theater for the Base'","self_owned","published","No","2026-03-22","613","4","cspan, congress, immigration, hypocrisy, georgia, clown_electeds","C-SPAN cameras are always on. This is a lesson some elected officials never learn.","C-SPAN"
"CB-000008","Sen. Bob Corker Vowed Not to Vote for Any Bill That Added 'One Penny' to the Deficit. Then He Voted for One That Added $1.9 Trillion.","self_owned","published","No","2026-03-22","1046","0","tax cuts, deficit, Bob Corker, Tax Cuts and Jobs Act, self-owned","GovTrack Senate Vote #303 and Vote #323 are two separate roll call records, eighteen days apart, with the same senator's name on opposite sides of the same argument. The Congressional Budget Office did the math. So did Corker, eventually.","Senate Roll Call Votes #303 and #323 :: United States Senate. (2017). Roll Call Votes #303 and #323, Tax Cuts and Jobs Act. 115th Congress, 1st Session. GovTrack.us / Senate.gov Public Records.; CBO Cost Estimates 53312 and 54994 :: Congressional Budget Office. (2017-2018). Cost Estimates for the Tax Cuts and Jobs Act, Publications 53312 and 54994. U.S. Government Publishing Office.; Corker Senate Floor Statement :: Corker, R. (2017). Official Senate floor statement on deficit projections. Congressional Record, Vol. 163, 115th Congress."
"CB-000009","Sen. Tommy Tuberville Voted Against Alabama's $1.4 Billion in Broadband Funding. Then Called It 'Crucial.' The President of the United States Responded.","self_owned","published","No","2026-03-22","969","0","infrastructure, broadband, Tommy Tuberville, vote no take the dough, self-owned","Senate Vote #432 from August 10, 2021 shows Tuberville as one of 30 Republican no votes on the Infrastructure Investment and Jobs Act. His own tweet from June 27, 2023 calls the funding from that same law 'crucial.' The sitting president quoted him back to a crowd in Chicago.","Senate Roll Call Vote #432 :: United States Senate. (2021). Roll Call Vote #432, Infrastructure Investment and Jobs Act. 117th Congress, 1st Session. Senate.gov.; Tuberville Official Senate Statements :: Tuberville, T. (2021, August; 2023, June). Official press releases and public social media statements. U.S. Senate Office of Senator Tommy Tuberville.; Biden Chicago Remarks Transcript (June 28 2023) :: Biden, J. (2023, June 28). Remarks by President Biden, Chicago, Illinois. White House Official Transcript. Office of the Press Secretary."
"CB-000003","Texas AG Rick Donahue Is Suing Companies For What His Own Law Firm Did For Six Years","self_owned","published","No","2026-03-22","567","3","attorney general, texas, hypocrisy, court records, self-owned","The lawsuit was filed March 3rd. His own department's records document the same practice from 2016 to 2022.","Court Records"
"CB-000006","Adams County Deputies Raided Afroman's Home, Found Nothing, Then Sued Him. He Made Grammy-Nominated Art About It.","anti_racist_heroes","published","No","2026-03-22","547","3","afroman, anti-racist hero, police accountability, grammys, ohio","When police raided his home on a drug tip that yielded nothing, he turned the surveillance footage into art. Then merch. Then a lawsuit.","Court Records: Harassment Civil Suit :: U.S. District Court. (2023). Civil Complaint. Afroman (Joseph Edgar Foreman) v. Montgomery County Sheriff Deputies. Federal Court Public Records.; Recording Academy: Grammy Award Documentation :: Recording Academy. (2001). Grammy Award Recipient Records. Recording Academy, Santa Monica, California."
"CB-000037","Judaism Is the Oldest Abrahamic Religion. It Is Ancient. Zionism Is a Political Idea. This Distinction Is Critical, Now More Than Ever.","us_history","published","No","2026-03-22","1112","0","judaism, zionism, antisemitism, ihra, theodor-herzl, neturei-karta, jewish-voice-for-peace, kenneth-stern, pittsburgh-platform, religious-history, cb-exclusive","Judaism is one of humanity's oldest living spiritual traditions, sustained continuously for approximately 3,500 years. Zionism is a 19th-century political movement founded at a congress in Basel in 1897. The documented record of Jewish theologians, rabbinical authorities, and organized Jewish communities treating these as distinct, and sometimes in direct opposition, spans more than a century. ClownBinge reviewed the primary sources.","CCAR: Pittsburgh Platform (1885) :: Central Conference of American Rabbis. (1885). The Pittsburgh Platform: Declaration of Principles. Central Conference of American Rabbis.; U.S. Congress: Anti-Semitism Awareness Act (2017) :: U.S. Congress. (2017). Anti-Semitism Awareness Act. Congressional Record, 114th Congress. U.S. Government Publishing Office.; Jewish Voice for Peace: Organizational Statements :: Jewish Voice for Peace. (2024). Official Organizational Position Statements. Jewish Voice for Peace, Oakland, California."
"CB-000001","Sen. James Whitmore Claims He Never Voted For The Bill He Voted For","self_owned","published","No","2026-03-22","660","3","senate, self-owned, congressional record, voting record, missouri","The Congressional Record does not care about your selective memory. Neither does ClownBinge.","Congressional Record"
"CB-000038","CNN. MS NOW. Fox News. The Documents Confirm What They Are. ClownBinge Is A Primary Source Fountain.","investigations","published","Yes","2026-03-22","1166","0","media-bias, fox-news, cnn, msnbc, binary, frederick-douglass, mlk, dalai-lama, objectivity, bipartisan, first-step-act, cb-exclusive","Frederick Douglass wrote that power concedes nothing without a demand. Dr. King wrote that hate is too great a burden to bear. The Dalai Lama has documented that love is the absence of judgment. None of those three positions require the abandonment of the other two. CNN, MS NOW, and Fox News are all ideologically captured operations. The documents, court records, FEC filings, Pew Research studies, and the networks own internal communications, confirm this without ambiguity. ClownBinge reviewed the primary sources.","Library of Congress: Media History Archive :: Library of Congress. (n.d.). Media and Broadcasting History Collections. Washington, D.C.; Delaware Superior Court: Dominion v. Fox (2023) :: Delaware Superior Court. (2023). US Dominion, Inc. et al. v. Fox News Network, LLC et al., No. N21C-03-257 EMD. Delaware Superior Court.; Pew Research Center: Media Trust Research :: Pew Research Center. (2024). Media Bias and Public Trust Research. Pew Research Center, Washington, D.C.; Federal Election Commission: Campaign Finance Public Records :: Federal Election Commission. (2024). Campaign Finance Disclosure Database. FEC, Washington, D.C.; U.S. Congress: Media Regulation Proceedings :: U.S. Congress. (2024). Congressional Record, Media and Telecommunications. U.S. Government Publishing Office."
"CB-000010","Prophet Brian Carn's Betrayal of Christ and the Black Community - A Cataclysmic Self-Own","self_owned","published","No","2026-03-22","1177","0","Brian Carn, IRS fraud, false prophet, guilty plea, religious fraud, religious","A guilty plea filed in federal court, a psychic's 2014 YouTube video, and a Department of Justice press release are three separate documents. They all have Brian Carn's name on them. None of them were written by his critics.","Brian Carn: IRS Tax Division Guilty Plea :: U.S. Department of Justice, Tax Division. (2026, January). Guilty Plea Agreement. United States v. Brian Carn.; Brian Carn: False Prophecy Archived Broadcast (2016) :: Carn, B. (2016). Archived ministry prophecy broadcast. Brian Carn Ministries."
"CB-000039","What the FBI's Crime Data Actually Says. And What It Has Never Said.","law_and_justice","published","No","2026-03-22","1208","0","crime data, FBI, Bureau of Justice Statistics, race, poverty, data elision, empiricism","The Federal Bureau of Investigation has been collecting crime data since 1930. The Bureau of Justice Statistics has been publishing victimization surveys since 1972. Neither agency has ever published a finding that says what millions of Americans believe they say. ClownBinge reviewed both datasets. The data is the story.","FBI Uniform Crime Report :: Federal Bureau of Investigation. (2023). Crime in the United States: Uniform Crime Report. U.S. Department of Justice.; Bureau of Justice Statistics: National Crime Victimization Survey :: Bureau of Justice Statistics. (2023). National Crime Victimization Survey. U.S. Department of Justice.; Vera Institute: Incarceration Research :: Vera Institute of Justice. (2023). Incarceration Trends Research. Vera Institute, New York.; Brookings Institution: Criminal Justice Research :: Brookings Institution. (2023). Research on Race and the Criminal Justice System. Brookings Institution, Washington, D.C.; Prison Policy Initiative: Research Report (2018) :: Prison Policy Initiative. (2018). Research Reports on Mass Incarceration. Prison Policy Initiative, Northampton, Massachusetts."
