"Case Number","Title","Category","Status","Staff Pick","Published At","Word Count","Citation Count","Tags","Teaser"
"CB-000024","Celebrity Pastor Carl Lentz Fired From Hillsong New York After Admitting Infidelity, Later Accused of Sexual Coercion","religion","published","No","2026-03-22","1027","0","carl-lentz, hillsong, megachurch, infidelity, sexual-coercion, celebrity-pastor, moral-failure, evangelical","Carl Lentz built a celebrity-studded congregation at Hillsong New York on a foundation of preaching sexual integrity and moral leadership. In November 2020, he was fired for moral failures and later admitted to infidelity. A former housekeeper subsequently filed a lawsuit alleging sexual coercion."
"CB-000025","Hillsong Founder Brian Houston Resigns After Investigation Finds Misconduct Toward Women, Failure to Report Father's Abuse","religion","published","No","2026-03-22","976","0","hillsong, brian-houston, church-misconduct, evangelical, resignation, child-abuse-reporting-failure, religious-hypocrisy, australia","Brian Houston, the man who built Hillsong Church into a global moral authority, resigned in March 2022 after an independent investigation found he had behaved inappropriately toward two women and failed to report his own father's child sexual abuse to police. The irony of a family-values empire collapsing under its founder's personal conduct failures is substantial. This is not a minor footnote."
"CB-000026","Creflo Dollar's $65 Million Prayer: Pastor Asks Flock to Buy Him a Third Jet","religion","published","No","2026-03-22","983","0","prosperity gospel, Creflo Dollar, World Changers Church International, private jet, Gulfstream G650, televangelism, fundraising, financial hypocrisy","Prosperity gospel pastor Creflo Dollar launched a campaign in March 2015 asking supporters to collectively donate $65 million for a Gulfstream G650 private jet. Dollar was already operating two Gulfstream jets at the time and simultaneously preaching that giving to his ministry was the key to personal financial blessing."
"CB-000028","Mark Driscoll Built Two Churches on Accountability Theology, Then Failed Every Accountability Test","religion","published","No","2026-03-22","1052","0","Mark Driscoll, Mars Hill Church, Trinity Church, spiritual abuse, pastoral accountability, megachurch, evangelical, complementarianism, financial misconduct, religious hypocrisy","Mark Driscoll preached male authority, spiritual submission, and pastoral accountability for two decades while systematically avoiding all three. After being forced out of Mars Hill Church in Seattle, he simply founded a new church in Scottsdale and ran the same playbook."
"CB-000029","NewSpring Founder Perry Noble Fired Over Alcohol Abuse After Preaching Discipline From the Pulpit","religion","published","No","2026-03-22","838","0","megachurch, alcohol abuse, NewSpring Church, South Carolina, pastoral accountability, evangelical, fired","Perry Noble built one of South Carolina's largest megachurches by preaching personal discipline and the dangers of addiction. In July 2016, his own board of directors fired him for alcohol abuse and its effects on his marriage."
"CB-000060","No, Black Americans Do Not Commit More Violent Crime. ClownBinge Deconstructs the Racist Narratives That Hurt, With Empirical Data.","nerd_out","published","No","2026-03-22","1955","9","criminal-justice, racial-disparity, FBI-data, policing, wrongful-convictions, poverty, structural-racism, empirical-analysis","The claim circulates at congressional hearings and cable news panels: FBI data proves Black Americans commit more violent crime. The primary sources say otherwise. Here is what the Bureau of Justice Statistics, the Stanford Open Policing Project, the National Registry of Exonerations, and federal health surveys actually show."
"CB-000030","Harvest Spoiled: James MacDonald Fired After Recordings, Fraud Allegations, and a Hunting Ranch on the Lord's Dime","religion","published","No","2026-03-22","950","0","james macdonald, harvest bible chapel, megachurch, spiritual abuse, insurance fraud, financial misconduct, evangelical, accountability","James MacDonald built Harvest Bible Chapel into a congregation of 13,000 before his elders fired him in February 2019 after recordings captured him making vulgar statements about colleagues and a journalist. Subsequent reporting documented alleged insurance fraud, personal misuse of church funds, and years of spiritual abuse."
"CB-000031","Bishop Eddie Long, Crusader Against Same-Sex Marriage, Faces Lawsuits Alleging Sexual Coercion of Teenage Boys","religion","published","No","2026-03-22","1146","0","eddie long, new birth missionary baptist church, clergy misconduct, same-sex marriage, megachurch, georgia, religious hypocrisy, sexual misconduct allegations","Bishop Eddie Long built a national profile as a defender of traditional marriage and a vocal opponent of same-sex relationships. In September 2010, four young men filed lawsuits alleging he had used his spiritual authority and material gifts to coerce them into sexual relationships that began when they were teenagers. The gap between the pulpit and the allegations was not subtle."
"CB-000032","Ted Haggard: God's Loudest Anti-Gay Voice Was Paying a Male Escort for Three Years","religion","published","Yes","2026-03-22","807","0","ted-haggard, national-association-of-evangelicals, new-life-church, gay-marriage, evangelical, george-w-bush, colorado-springs, resignation, hypocrisy","Ted Haggard, president of the National Association of Evangelicals and a leading opponent of gay marriage, resigned in November 2006 after a male escort alleged Haggard had been his client for three years. The escort also alleged Haggard had purchased methamphetamine from him."
"CB-000033","Tony Spell: Louisiana Pastor Defies Government Authority, Then Cashes Government Check","religion","published","No","2026-03-22","913","0","covid-19, PPP loan, religious liberty, pandemic defiance, Louisiana, unlawful assembly, church and state, federal aid","Tony Spell rallied over 1,000 congregants in defiance of Louisiana's pandemic emergency order, declaring the government had no authority over his church. He then applied for and accepted a federal Paycheck Protection Program loan from that same government."
"CB-000034","Rodney Howard-Browne: Pastor Who Preached Divine Healing Over Medicine Got Arrested for Spreading a Pandemic","religion","published","No","2026-03-22","858","0","covid-19, religious hypocrisy, public health, Rodney Howard-Browne, Tampa, divine healing, liability waiver, stay-at-home order, charismatic Christianity, First Amendment","Rodney Howard-Browne, founder of The River at Tampa Bay Church, was arrested in March 2020 after holding packed services in defiance of a county stay-at-home order. The pastor who taught that God's healing trumps medical authority had quietly required his own staff to sign legal liability waivers first."
"CB-000005","Patricia Holden Voted to Ban Diversity Books. Her Daughter Was Already Enrolled in USC's Mandatory DEI Program.","self_owned","published","No","2026-03-22","487","1","school board, books, diversity, hypocrisy, south carolina","The same month the ban passed, enrollment deposits were due."
"CB-000002","Rep. Dale Hartwick Caught on C-SPAN Calling His Own Immigration Bill 'Political Theater for the Base'","self_owned","published","No","2026-03-22","613","4","cspan, congress, immigration, hypocrisy, georgia, clown_electeds","C-SPAN cameras are always on. This is a lesson some elected officials never learn."
"CB-000008","Sen. Bob Corker Vowed Not to Vote for Any Bill That Added 'One Penny' to the Deficit. Then He Voted for One That Added $1.9 Trillion.","self_owned","published","No","2026-03-22","1046","0","tax cuts, deficit, Bob Corker, Tax Cuts and Jobs Act, self-owned","GovTrack Senate Vote #303 and Vote #323 are two separate roll call records, eighteen days apart, with the same senator's name on opposite sides of the same argument. The Congressional Budget Office did the math. So did Corker, eventually."
"CB-000009","Sen. Tommy Tuberville Voted Against Alabama's $1.4 Billion in Broadband Funding. Then Called It 'Crucial.' The President of the United States Responded.","self_owned","published","No","2026-03-22","969","0","infrastructure, broadband, Tommy Tuberville, vote no take the dough, self-owned","Senate Vote #432 from August 10, 2021 shows Tuberville as one of 30 Republican no votes on the Infrastructure Investment and Jobs Act. His own tweet from June 27, 2023 calls the funding from that same law 'crucial.' The sitting president quoted him back to a crowd in Chicago."
"CB-000003","Texas AG Rick Donahue Is Suing Companies For What His Own Law Firm Did For Six Years","self_owned","published","No","2026-03-22","567","3","attorney general, texas, hypocrisy, court records, self-owned","The lawsuit was filed March 3rd. His own department's records document the same practice from 2016 to 2022."
"CB-000006","Adams County Deputies Raided Afroman's Home, Found Nothing, Then Sued Him. He Made Grammy-Nominated Art About It.","anti_racist_heroes","published","No","2026-03-22","547","3","afroman, anti-racist hero, police accountability, grammys, ohio","When police raided his home on a drug tip that yielded nothing, he turned the surveillance footage into art. Then merch. Then a lawsuit."
"CB-000037","Judaism Is the Oldest Abrahamic Religion. It Is Ancient. Zionism Is a Political Idea. This Distinction Is Critical, Now More Than Ever.","us_history","published","No","2026-03-22","1112","0","judaism, zionism, antisemitism, ihra, theodor-herzl, neturei-karta, jewish-voice-for-peace, kenneth-stern, pittsburgh-platform, religious-history, cb-exclusive","Judaism is one of humanity's oldest living spiritual traditions, sustained continuously for approximately 3,500 years. Zionism is a 19th-century political movement founded at a congress in Basel in 1897. The documented record of Jewish theologians, rabbinical authorities, and organized Jewish communities treating these as distinct, and sometimes in direct opposition, spans more than a century. ClownBinge reviewed the primary sources."
"CB-000001","Sen. James Whitmore Claims He Never Voted For The Bill He Voted For","self_owned","published","No","2026-03-22","660","3","senate, self-owned, congressional record, voting record, missouri","The Congressional Record does not care about your selective memory. Neither does ClownBinge."
"CB-000038","CNN. MS NOW. Fox News. The Documents Confirm What They Are. ClownBinge Is A Primary Source Fountain.","investigations","published","Yes","2026-03-22","1166","0","media-bias, fox-news, cnn, msnbc, binary, frederick-douglass, mlk, dalai-lama, objectivity, bipartisan, first-step-act, cb-exclusive","Frederick Douglass wrote that power concedes nothing without a demand. Dr. King wrote that hate is too great a burden to bear. The Dalai Lama has documented that love is the absence of judgment. None of those three positions require the abandonment of the other two. CNN, MS NOW, and Fox News are all ideologically captured operations. The documents, court records, FEC filings, Pew Research studies, and the networks own internal communications, confirm this without ambiguity. ClownBinge reviewed the primary sources."
"CB-000010","Prophet Brian Carn's Betrayal of Christ and the Black Community - A Cataclysmic Self-Own","self_owned","published","No","2026-03-22","1177","0","Brian Carn, IRS fraud, false prophet, guilty plea, religious fraud, religious","A guilty plea filed in federal court, a psychic's 2014 YouTube video, and a Department of Justice press release are three separate documents. They all have Brian Carn's name on them. None of them were written by his critics."
"CB-000039","What the FBI's Crime Data Actually Says. And What It Has Never Said.","law_and_justice","published","No","2026-03-22","1208","0","crime data, FBI, Bureau of Justice Statistics, race, poverty, data elision, empiricism","The Federal Bureau of Investigation has been collecting crime data since 1930. The Bureau of Justice Statistics has been publishing victimization surveys since 1972. Neither agency has ever published a finding that says what millions of Americans believe they say. ClownBinge reviewed both datasets. The data is the story."
"CB-000042","Diversity Denial: The United States Has Conducted This Experiment Before. The Primary Source Record Shows Exactly What Was Lost.","us_history","published","Yes","2026-03-22","1500","17","historical_figure, civil_rights, immigration, science_medicine, military, labor, education, contemporary","Every time the United States narrowed the pool, the federal record documents a measurable cost. Every time it drew from its full range of human talent, the record documents a measurable return. This is not a debate. This is a ledger."
"CB-000059","Harriet Tubman Never Lost an Enslaved Passenger. Irena Sendler Never Gave Up a Jew. A Primary Source Record of Two Women Who Refused to Fail.","how_it_works","published","No","2026-03-22","2517","9","selflessness, humanity, courage, harriet-tubman, irena-sendler, chiune-sugihara, hugh-thompson, vasili-arkhipov, nicholas-winton, underground-railroad, holocaust, human-rights","They had nothing in common. One was a woman born into American slavery who could not read. One was a Japanese diplomat trained in a bureaucracy that valued protocol above everything. One was a Polish Catholic social worker. One was a Soviet submarine officer. One was a United States Army helicopter pilot. One was a British stockbroker who kept a secret for fifty years. One was a village. What they shared was a single decision, made in a specific moment at a specific cost, to place the life directly in front of them above the system telling them to look away. ClownBinge documents two and a half centuries of that decision."
"CB-000007","Absurd: Sen. Ted Cruz Claims 'Christ is King' is Anti-Jewish. Yes He Actually Said it. Except, Of Course, Jesus Was Jewish.","self_owned","published","No","2026-03-22","963","8","ted cruz, christ is king, antisemitism, aipac, evangelical, texas, senate, clown_electeds","In a March 2026 CBN News interview, the Texas senator told a Christian audience that one of Christianity's oldest theological affirmations is, in his words, 'I hate the Jews.' His evangelical base responded immediately. So did the FEC records."
"CB-000056","The Strongest Thing: What the Research Has Always Known About Love, Healing, and Long Life","health_and_healing","published","No","2026-03-22","1423","8","love, forgiveness, healing, longevity, mental-health, well-being, social-psychology, relationships, health","Western culture assigned love, forgiveness, and emotional repair to the category of softness. The longitudinal health data filed a different report. Across eight decades of peer-reviewed research, the finding is consistent: the people who love well, forgive deliberately, and pursue healing as a practice live longer, suffer less chronic illness, and report higher levels of meaning at the end of their lives. This is not philosophy. It is measurement."
"CB-000057","Woke Is Not a Slur. Using It Like One Is as American as Apple Pie: A Chronology of Black Liberation and Survival","us_history","published","No","2026-03-22","1454","9","woke, black-liberation, social-consciousness, african-american-history, language, civil-rights, survival, culture, reclamation","In 1938, Huddie Ledbetter, known as Leadbelly, recorded a song about nine Black teenagers falsely accused of rape in Alabama. At the end, he told Black Americans to stay woke. He meant: pay attention. The threat is real. The word has always meant exactly that. What happened to it after that is also, as it turns out, as American as apple pie."
"CB-000058","Two Parties Cannot Represent 335 Million People. The Math Has Never Worked. The Record Proves It.","us_history","published","No","2026-03-22","1515","11","two-party-system, polarization, bipartisan, governance, duverger, congress, democracy, political-reform, ideological-diversity, statesmanship","America does not have a shortage of capable legislators. It has a structural crisis. The two-party system compresses the full range of human political belief into two bins, then demands that everyone governing a nation of 335 million people choose one and attack the other. The people who survive that filter are not the most capable of governing. They are the most committed to the binary. That is not the same thing. Here is the documented record."
"CB-000054","Neither Columbus Nor George Washington Had a Visa: An American Chronology of Death, Displacement, Theatrical Property Rights and the Historical Meaning of Illegal","us_history","published","Yes","2026-03-22","1694","16","immigration, native-americans, columbus, george-washington, illegal, doctrine-of-discovery, trail-of-tears, indian-removal-act, land-theft","The United States Congress debates illegal immigration. Most of its members descend from people who arrived without permission and took land that was not theirs. Some descend from people who were brought here in chains, with no agency and no claim on stolen land. A few descend from the people whose land was taken in the first place. The primary source record on who invented the word illegal is more comprehensive than most of these debates reflect."
"CB-000043","Ketanji Brown Jackson Wrote in Her High School Yearbook That She Wanted to Be a Judge. The Federal Record Confirms She Became One. Three Decades of Hard Work Proved It Wasn't DEI.","women_and_girls","published","Yes","2026-03-22","1249","10","historical_figure, supreme_court, civil_rights, court_record, federal_elected, education, contemporary","The American Bar Association interviewed more than 250 attorneys and judges with direct knowledge of her work and rated her unanimously Well Qualified. That is the ABA's highest possible rating. The confirmation hearing transcript is Senate Hearing 117-422. Both documents are public record."
"CB-000045","The United States Is Paying $2.8 Billion Per Day in Interest on Its Debt. The Congressional Record Documents Who Voted for Every Dollar of It.","money_and_power","published","Yes","2026-03-22","1061","13","government, fiscal_policy, military_spending, veterans, bipartisan, court_record, contemporary","As of March 17, 2026, the gross national debt of the United States exceeded $39 trillion for the first time in history. The GAO has audited the figure. The CBO has projected its trajectory. The Congressional Record documents every vote that built it. No one who cast those votes was asked to pay for them."
"CB-000044","The Gentleman Was a Military Concept. The Lady Was a Legal Architecture. The Primary Source Record Documents What Both Cost American Women, and What They Built Anyway.","women_and_girls","published","No","2026-03-22","1620","17","historical_figure, civil_rights, education, court_record, bill_of_rights, founding_era, civil_rights_era, contemporary","The word chivalry derives from the Old French chevalerie, meaning horse soldiery. The word lady derives from the Old English hlæfdige, meaning the one who kneads bread. Neither word, in its documented origin, has anything to do with honoring women. The history of how they came to mean what we believe they mean is documented. So is the history of what women built while those words were being applied to them."
"CB-000040","We Hold These Truths. What the 2026 Record Is Doing to Them.","us_constitution","published","Yes","2026-03-22","1232","0","constitution, democracy, equal protection, due process, authoritarianism, american values, 2026, 14th amendment, founding documents","Americans are not required to agree with one another. The Constitution does not ask for agreement. It asks for something harder: equal protection of everyone, without exception. The founding documents of the United States are primary sources. The 2025 and 2026 record is a primary source. ClownBinge placed them next to each other. The distance between them is the story. The framework that produced them is worth protecting."
"CB-000041","The United States Was Built by Indigenous Nations, Enslaved Africans, and Immigrants. The Primary Source Record Confirms Each.","us_history","published","No","2026-03-23","2772","17","","A primary source accounting of what immigrants, enslaved Africans, Indigenous First Nations, and the native peoples of the Southwest built, cultivated, and contributed to America. The record is long because their contributions are long. It is not a matter of debate."
"CB-000046","The Vanishing Act: How CNN's 2020 Diversity Pledge Disappeared Inside a $40 Billion Debt Load","censorship","published","No","2026-03-23","709","6","CNN, Warner Bros Discovery, media, DEI, EEOC, SEC filings, corporate media, diversity rollback, Mark Thompson","In 2020, CNN president Jeff Zucker called race coverage a permanent, sustained commitment. By July 2024, CNN CEO Mark Thompson had disbanded the team that existed to fulfill it. The SEC filings, federal employment data, and internal memos document exactly how the money made it happen."
"CB-000047","The Second Amendment Has a Race Problem. The Primary Source Record Documents It.","us_constitution","published","Yes","2026-03-23","855","8","second amendment, Philando Castile, racial disparity, gun rights, constitutional rights, NRA, Stand Your Ground, Black Codes, concealed carry","Philando Castile had a legal firearm, a valid concealed carry permit, and disclosed he was armed before he was shot seven times. The officer was acquitted. The NRA, which exists to defend licensed gun owners, issued a statement five days later. This article does not editorialize. It reads the record."
"CB-000048","The Elimination Program Failed. The Census Confirms It. The First Nations Are Here.","us_history","published","No","2026-03-24","874","9","First Nations, Indigenous Americans, Native American, genocide, Indian Removal Act, Dawes Act, boarding schools, census, McGirt v Oklahoma, us history","The United States government executed a documented, multi-century legal and military campaign designed to eliminate Indigenous peoples from the North American continent. The 2020 Census records 9.7 million people who identify as American Indian or Alaska Native. The record documents both the program and its outcome."
"CB-000049","What the First Nations Knew First: A Documented Inventory of Knowledge Modern America Is Still Catching Up To","us_history","published","No","2026-03-24","927","7","First Nations, Indigenous knowledge, medicine, ethnobotany, controlled burns, aspirin, Three Sisters, engineering, restorative justice, oral history","This is not a spiritual piece. It is an inventory. Across medicine, agriculture, fire ecology, engineering, and mental health, the primary source record documents a consistent pattern: Indigenous nations held working knowledge of systems that Western science formally verified decades or centuries later. The credit column remains largely empty."
"CB-000050","Give Me Your Tired: The Primary Source Record of Who Made Them Tired in the First Place","global_south","published","Yes","2026-03-24","1069","5","immigration, foreign policy, global south, Guatemala, Honduras, NAFTA, regime change, CIA, Ellis Island, Statue of Liberty, Central America","Emma Lazarus wrote the promise in 1883. The CIA wrote the policy memos in 1954. The IMF wrote the structural adjustment conditions in the 1980s. The State Department co-signed the 2009 coup. The primary source record of American immigration contains all of these documents. The current political debate cites only the first one."
"CB-000051","The Arithmetic of Presence: What the 2020 and 2025 Census Records Actually Document About White America. A ClownBinge Exclusive.","us_history","published","Yes","2026-03-24","1458","7","census, demographics, white america, great replacement, federal reserve, wealth, congress, federal judiciary, population, arithmetic","The claim that White America is being 'replaced' or 'erased' has circulated in political discourse at the highest levels of American media and government. ClownBinge does not characterize the claim. It documents whether the claim is arithmetically sustainable. The Federal Reserve, the U.S. Census Bureau, and the Federal Judicial Center have already answered the question. The ledger is below."
"CB-000052","The Clinical Cost of the Label: A Documented Inventory of How 'DEI' as a Variable Produces Measurable Dehumanization","investigations","published","No","2026-03-24","1134","5","DEI, dehumanization, professional identity, neuroscience, cortisol, census, institutional racism, workplace discrimination, cognitive science, credential theft","When an institution replaces 'Subject Matter Expert' with 'DEI Candidate,' it is not making a personnel decision. It is retroactively reclassifying 18,000 hours of documented, credentialed labor as a three-letter administrative placeholder. The Department of Education, the National Institutes of Health, and the U.S. Census Bureau have already documented the cost. This is the ledger."
"CB-000053","Fake News, Foucault, and Durkheim: Trump's Term Has Prophetic Roots","nerd_out","published","No","2026-03-24","1503","3","fake news, Foucault, Durkheim, Bourdieu, media theory, epistemology, regime of truth, social fact, symbolic violence, journalism, political language, academic analysis, media criticism","Émile Durkheim published The Rules of Sociological Method in 1895. Michel Foucault delivered 'The Order of Discourse' in 1970. Donald Trump used the phrase 'fake news' 2,019 documented times during his first term. This article does not argue that Durkheim and Foucault predicted Trump. It argues that they described the mechanism that makes the phrase work, with precision that 130 years of political history has only confirmed. The Power of Words in Everyday Life."
"CB-000055","Beyond Hopes & Dreams: Planning for Wealth Isn't Fantasy. It's The Only Way.","money_and_power","published","Yes","2026-03-24","2129","14","social-security, retirement, investment, wealth-building, generational-wealth, financial-planning, hsa, i-bonds, knowledge-economy","The 2024 Social Security Trustees Report projects Trust Fund depletion by 2035. After that, ongoing payroll taxes cover approximately 83 cents of every promised dollar. The scholars have been publishing this data for two decades. Here is what they say to build while there is still time, including strategies the financial industry profits from you not knowing."
"CB-000061","The Attack on DEI Was a Ruse. We Compared the Qualifications of Obama and Trump Administration Appointees. The ClownBinge Investigation Is Telling.","nerd_out","published","No","2026-03-24","1991","9","DEI, qualifications, Obama, Trump, cabinet appointments, federal appointees, merit, documented record, executive branch","The argument against DEI programs has been consistent: they substitute identity for merit, producing less qualified people. That is a testable claim. We tested it. We pulled the academic credentials and professional records of cabinet-level appointees from two administrations, set them side by side, and let the documented record speak. It does."
"CB-000062","It's Time to End the Egregious and Barbaric Practice of State-Sanctioned Revenge: Why Executions Must Stop.","law_and_justice","published","No","2026-03-25","1976","15","death penalty, criminal justice, racial bias, wrongful execution, innocence, law and justice, state violence, racial disparity, constitutional law, capital punishment","190 people have been exonerated from death row since 1973. A peer-reviewed study estimates at least 4.1% of those executed are innocent. The racial bias is documented in Supreme Court records. The botched execution rate is one in thirty-three. The case against capital punishment is not philosophical. It is empirical, and it is overwhelming."
