Case Number,Title,Slug,Category,Teaser,Status,Published Date,Staff Pick,Pinned,Views,Source URL,Verified Source,Subject Name,Subject Title,Subject Party,Date of Incident
CB-000132,The CBO Scores Every Bill. The Congressional Record Has Every Floor Speech. The C-SPAN Archive Has the Video. All Three Are Searchable.,cbo-cost-estimates-congressional-record-floor-speeches-cspan-archive-deficit-record,self_owned,The CBO publishes deficit scores for every major bill. The Congressional Record archives every floor statement. The C-SPAN archive goes back to 1979. Placing a member's deficit rhetoric alongside the CBO score for the legislation they voted for requires three public databases and no specialized access.,published,2026-04-02,f,f,0,,Congressional Budget Act of 1974 :: Public Law 93-344 :: United States Congress; CBO Historical Budget Data :: Congressional Budget Office (annual) :: cbo.gov; CBO Cost Estimate: Tax Cuts and Jobs Act :: Congressional Budget Office (November 2017) :: cbo.gov/publication/53311; C-SPAN Congressional Archive :: C-SPAN (1979-present) :: c-span.org,,,,
CB-000133,Hijacking Voice: The Documented Legality of Gerrymandering and What the Supreme Court Said Could Not Be Fixed.,hijacking-voice-gerrymandering-minority-political-autonomy-supreme-court,us_constitution,Chief Justice John Roberts wrote in 2019 that political gerrymandering produces results that are 'unjust by any measure.' He then ruled that federal courts have no authority to fix it. The Fourteenth and Fifteenth Amendments exist. The Voting Rights Act exists. This is the primary source record of how minority political voice is legally diminished and what the courts said about it.,published,2026-03-26,f,f,0,,"Rucho v. Common Cause, 588 U.S. 684 (2019) :: Supreme Court of the United States. (2019). Rucho v. Common Cause, 588 U.S. 684. Majority opinion by Chief Justice Roberts acknowledging partisan gerrymandering produces results unjust by any measure and holding federal courts lack jurisdiction to adjudicate partisan gerrymandering claims. Kagan dissent documenting predicted consequences.; Shelby County v. Holder, 570 U.S. 529 (2013) :: Supreme Court of the United States. (2013). Shelby County v. Holder, 570 U.S. 529. 5-4 decision striking down the Section 5 preclearance coverage formula of the Voting Rights Act of 1965. Majority opinion by Chief Justice Roberts.; Thornburg v. Gingles, 478 U.S. 30 (1986) :: Supreme Court of the United States. (1986). Thornburg v. Gingles, 478 U.S. 30. Unanimous decision establishing the three-precondition legal framework for Section 2 Voting Rights Act minority vote dilution claims.; Allen v. Milligan, 599 U.S. 1 (2023) :: Supreme Court of the United States. (2023). Allen v. Milligan, 599 U.S. 1. 5-4 decision holding that Alabama's congressional district map violated Section 2 of the Voting Rights Act by failing to create a second majority-minority district.; Gill v. Whitford, 585 U.S. 48 (2018) :: Supreme Court of the United States. (2018). Gill v. Whitford, 585 U.S. 48. Decision remanding Wisconsin partisan gerrymandering challenge on standing grounds without reaching constitutional merits of efficiency gap standard.; North Carolina v. League of Women Voters: Fourth Circuit Opinion (2016) :: United States Court of Appeals, Fourth Circuit. (2016). North Carolina State Conference of the NAACP v. McCrory. Finding that North Carolina's 2013 omnibus voting law targeted Black voters with almost surgical precision. Published opinion citing state's own legislative record.; U.S. Constitution: Fourteenth Amendment (1868) and Fifteenth Amendment (1870) :: United States Congress. (1868, 1870). Fourteenth Amendment: Equal Protection Clause. Fifteenth Amendment: Prohibition on denial of voting rights on account of race. United States Constitution.; Voting Rights Act of 1965: Section 2 and Section 5 :: United States Congress. (1965). Voting Rights Act of 1965, Pub. L. No. 89-110, 79 Stat. 437. Section 2 prohibition on voting standards resulting in racial discrimination. Section 5 preclearance requirement for covered jurisdictions.; Princeton Gerrymandering Project: Efficiency Gap Analysis (2010-2022) :: Chen, J., and Stephanopoulos, N. (2013-2022). Princeton Gerrymandering Project. Efficiency gap methodology and applied analyses of congressional and state legislative maps. Peer-reviewed mathematical framework for quantifying partisan bias in redistricting.; Brennan Center for Justice: Gerrymandering and Minority Representation Research :: Brennan Center for Justice, New York University School of Law. (2017-2023). Research publications on partisan gerrymandering, minority vote dilution, and redistricting reform. New York, New York.; Declaration of Independence (1776) :: Second Continental Congress. (1776). The unanimous Declaration of the thirteen united States of America. Philadelphia, Pennsylvania. Primary founding document asserting that all men are created equal.",,,,
CB-000134,Racism Is Never OK: The Difficult Conversations We Must All Have With Our Families. Accountability Matters.,racism-never-ok-family-accountability-difficult-conversations-disarming-hate,disarming_hate,"The hardest conversation you will ever have is the one at your own dinner table. The research shows it is also among the most important ones you will ever have. Across every racial community in America, people are finding the courage to hold the people they love accountable for the harm they cause. This is what that looks like, and why it matters more than most of us have been told.",published,2026-03-27,f,f,0,,"Tatum, B. D. (2017) : Why Are All the Black Kids Sitting Together in the Cafeteria? :: Tatum, B. D. (2017). Why are all the Black kids sitting together in the cafeteria? And other conversations about race (20th anniversary ed.). Basic Books.; Hughes, D., et al. (2006) : Racial Socialization and Child Development :: Hughes, D., Rodriguez, J., Smith, E. P., Johnson, D. J., Stevenson, H. C., & Spicer, P. (2006). Parents' ethnic-racial socialization practices: A review of research and directions for future study. Developmental Psychology, 42(5), 747–770. https://doi.org/10.1037/0012-1649.42.5.747; Allport, G. W. (1954) : The Nature of Prejudice :: Allport, G. W. (1954). The nature of prejudice. Addison-Wesley.; Ross, L. J. (2019) : Calling In: A Less Disposable Way of Holding Each Other Accountable :: Ross, L. J. (2019, December 17). I'm a Black feminist. I think call-out culture is toxic. The New York Times. https://www.nytimes.com/2019/08/17/opinion/sunday/cancel-culture-call-out.html; Pew Research Center (2021) : Views of Racial Discrimination :: Pew Research Center. (2021, August). Deep Divisions in Americans' Views of Nation's Racial History : and How to Address It. Pew Research Center. https://www.pewresearch.org/politics/2021/08/12/deep-divisions-in-americans-views-of-nations-racial-history-and-how-to-address-it/; Dovidio, J. F., & Gaertner, S. L. (2004) : Aversive Racism and Intergroup Contact :: Dovidio, J. F., & Gaertner, S. L. (2004). Aversive racism. Advances in Experimental Social Psychology, 36, 1–52. https://doi.org/10.1016/S0065-2601(04)36001-6; Pettigrew, T. F., & Tropp, L. R. (2006) : Meta-Analysis of Intergroup Contact Theory :: Pettigrew, T. F., & Tropp, L. R. (2006). A meta-analytic test of intergroup contact theory. Journal of Personality and Social Psychology, 90(5), 751–783. https://doi.org/10.1037/0022-3514.90.5.751; Fraga, L. R., et al. (2010) : Latino Lives in America :: Fraga, L. R., Garcia, J. A., Hero, R. E., Jones-Correa, M., Martinez-Ebers, V., & Segura, G. M. (2010). Latino lives in America: Making it home. Temple University Press.; Bonilla-Silva, E. (2003) : Racism Without Racists :: Bonilla-Silva, E. (2003). Racism without racists: Color-blind racism and the persistence of racial inequality in America. Rowman & Littlefield.; Baldwin, J. (1962) : The Fire Next Time :: Baldwin, J. (1962). Letter from a region in my mind. The New Yorker. [Published as The Fire Next Time, 1963, Dial Press.]",,,,
CB-000135,"Neither Columbus Nor George Washington Had a Visa: An American Chronology of Death, Displacement, Theatrical Property Rights and the Historical Meaning of Illegal",columbus-george-washington-illegal-american-chronology-displacement,us_history,"The United States Congress debates illegal immigration. Most of its members descend from people who arrived without permission and took land that was not theirs. Some descend from people who were brought here in chains, with no agency and no claim on stolen land. A few descend from the people whose land was taken in the first place. The primary source record on who invented the word illegal is more comprehensive than most of these debates reflect.",published,2026-03-22,f,t,18,,"National Archives and Records Administration: Historical Document Collections :: National Archives and Records Administration. (n.d.). Historical Federal Document Collections. NARA, Washington, D.C.; Library of Congress: American History Primary Sources :: Library of Congress. (n.d.). American History Primary Source Collections. Washington, D.C.; National Park Service: Historical Research :: National Park Service. (n.d.). Historical Records and Cultural Resources Research. U.S. Department of the Interior.; Smithsonian Institution: National Collections :: Smithsonian Institution. (n.d.). National Museum Collections and Research Archive. Washington, D.C.; Office of the Historian: U.S. State Department Historical Records :: Office of the Historian, U.S. Department of State. (n.d.). Foreign Relations of the United States Series. Washington, D.C.",,,,
CB-000136,"The Science of Knowing Yourself: What Journaling Research Actually Proves About the Brain, the Body, and Behavior",science-of-knowing-yourself-journaling-research,health_and_healing,"In 1986, a psychologist asked students to write about their worst experiences for four days. Six months later, they were healthier. What happened inside their bodies, and what thirty years of research says about why writing changes everything.",published,2026-03-30,f,f,2,,"Foundational Expressive Writing Study :: Pennebaker, J.W., & Beall, S.K. (1986). Confronting a traumatic event: Toward an understanding of inhibition and disease. Journal of Abnormal Psychology. American Psychological Association.; Immune Response to Expressive Writing :: Pennebaker, J.W., Kiecolt-Glaser, J.K., & Glaser, R. (1988). Disclosure of traumas and immune function: Health implications for psychotherapy. Journal of Consulting and Clinical Psychology. American Psychological Association.; Cognitive Language and Health Outcomes :: Pennebaker, J.W., & Francis, M.E. (1996). Cognitive, emotional, and language processes in disclosure. Cognition and Emotion. Taylor & Francis.; Meta-Analysis: Expressive Writing Effects :: Smyth, J.M. (1998). Written emotional expression: Effect sizes, outcome types, and moderating variables. Journal of Consulting and Clinical Psychology. American Psychological Association.; Gratitude Journaling and Wellbeing :: Emmons, R.A., & McCullough, M.E. (2003). Counting blessings versus burdens: An experimental investigation of gratitude and subjective wellbeing. Journal of Personality and Social Psychology. American Psychological Association.; Best Possible Self Journaling :: King, L.A. (2001). The health benefits of writing about life goals. Personality and Social Psychology Bulletin. SAGE Publications.; Self-Distancing in Expressive Writing :: Kross, E., & Ayduk, O. (2011). Making meaning out of negative experiences by self-distancing. Current Directions in Psychological Science. SAGE Publications.; Emotional and Physical Health Benefits Review :: Baikie, K.A., & Wilhelm, K. (2005). Emotional and physical health benefits of expressive writing. Advances in Psychiatric Treatment. Royal College of Psychiatrists.; Self-Distancing and Adaptive Self-Reflection :: Kross, E., Ayduk, O., & Mischel, W. (2005). When asking 'why' does not hurt: Distinguishing rumination from reflective processing of negative emotions. Psychological Science. SAGE Publications.; Journaling and Relationship Quality :: Slatcher, R.B., & Pennebaker, J.W. (2006). How do I love thee? Let me count the words: The social effects of expressive writing. Psychological Science. SAGE Publications.; Depression and Brief Journaling Intervention :: Krpan, K.M., Kross, E., Berman, M.G., Deldin, P.J., Askren, M.K., & Jonides, J. (2013). An everyday activity as a treatment for depression: The benefits of expressive writing for people diagnosed with major depressive disorder. Journal of Affective Disorders. Elsevier.; Journaling for Mental Health: Systematic Review :: Sohal, M., Singh, P., Dhillon, B.S., & Gill, H.S. (2022). Efficacy of journaling in the management of mental illness: A systematic review and meta-analysis. Family Medicine and Community Health. BMJ Publishing Group.",,,,
CB-000137,Do Unto Others: The Case for No More Economic Wars. Our Children's Children Will Hate Us for Them.,do-unto-others-no-more-economic-wars-children-will-hate-us,us_history,"America spends $8 trillion bombing the majority of humanity and then wonders why the world does not trust it. The Global South is not a foreign policy abstraction. It is six billion people who are keeping receipts. Their children are growing up. Ours will pay the bill. This is the intergenerational math of economic warfare, and it does not resolve in America's favor.",published,2026-03-27,f,f,1,,"Costs of War (2023) :: U.S. budgetary and human costs of the post-9/11 wars :: Brown Univ. Watson Institute; UN Pop. Div. (2022) :: World Population Prospects 2022 :: United Nations; IMF (2024) :: World Economic Outlook: steady but slow :: IMF; Johnson (2000) :: Blowback: costs and consequences of American empire :: Metropolitan Books; Pape (2005) :: Dying to Win: the strategic logic of suicide terrorism :: Random House; UNICEF (2023) :: Children in Armed Conflict: annual report on grave violations :: UNICEF; Yehuda et al. (2016) :: Holocaust exposure and intergenerational FKBP5 methylation :: Biological Psychiatry; UNCTAD (2022) :: Impact of sanctions and conflict on development :: UNCTAD; Crawford (2021) :: Pentagon fuel use, climate change, and costs of war :: Brown Univ. Costs of War; African Union (2023) :: African Economic Outlook 2023 :: African Development Bank",,,,
CB-000138,"Sugar Is Gourmet Food for the Parasites in Your Gut. The Empirical Record on HFCS, Gut Dysbiosis, and the American Obesity Crisis.",sugar-hfcs-obesity-disease-gut-empirical-record,health_and_healing,Candida albicans and pathogenic gut bacteria preferentially feed on glucose and fructose. High fructose corn syrup delivers both in industrial quantities. The peer-reviewed record on what grows inside you when you eat this way — and how it is driving the obesity epidemic — is not light reading.,published,2026-03-30,f,f,1,,"Kearns et al. JAMA Internal Medicine Sugar Industry Research Manipulation: Internal Sugar Research Foundation documents showing paid manipulation of Harvard nutrition research to redirect blame from sugar to dietary fat (2016) :: Kearns, C.E. et al. (2016). Sugar Industry and Coronary Heart Disease Research: A Historical Analysis of Internal Industry Documents. JAMA Internal Medicine, 176(11). American Medical Association; Bray et al. American Journal of Clinical Nutrition HFCS Obesity Timeline: Epidemiological documentation of parallel rise in HFCS consumption and obesity prevalence in the United States from 1970 to 2000 (2004) :: Bray, G.A. et al. (2004). Consumption of high-fructose corn syrup in beverages may play a role in the epidemic of obesity. American Journal of Clinical Nutrition, 79(4). American Society for Nutrition; Stanhope et al. Journal of Clinical Investigation Fructose vs Glucose RCT: Randomized controlled trial showing greater visceral fat accumulation, triglyceride elevation, and de novo hepatic lipogenesis in fructose-consuming group versus glucose at matched caloric load (2009) :: Stanhope, K.L. et al. (2009). Consuming fructose-sweetened, not glucose-sweetened, beverages increases visceral adiposity and lipids and decreases insulin sensitivity in overweight/obese humans. Journal of Clinical Investigation, 119(5). American Society for Clinical Investigation; Imamura et al. BMJ Sugar-Sweetened Beverages Meta-Analysis: Systematic review of 17 cohort studies finding 26 percent greater type 2 diabetes risk and 35 percent greater fatal cardiovascular disease risk at one to two servings of SSBs per day (2015) :: Imamura, F. et al. (2015). Consumption of sugar sweetened beverages, artificially sweetened beverages, and fruit juice and incidence of type 2 diabetes. BMJ, 351. BMJ Publishing Group; Malik et al. Circulation Sugar-Sweetened Beverages and Cardiovascular Risk: Meta-analysis documenting consistent association between SSB consumption and cardiovascular disease risk across multiple prospective cohorts including fructose-driven triglyceride and uric acid mechanisms (2010) :: Malik, V.S. et al. (2010). Sugar-sweetened beverages and risk of metabolic syndrome and type 2 diabetes. Diabetes Care, 33(11). American Diabetes Association; Yang et al. JAMA Internal Medicine Added Sugar and Cardiovascular Mortality: NHANES analysis showing 38 percent greater cardiovascular mortality at 17 to 21 percent of calories from added sugar and doubled risk above 21 percent (2014) :: Yang, Q. et al. (2014). Added sugar intake and cardiovascular diseases mortality among US adults. JAMA Internal Medicine, 174(4). American Medical Association; Sonnenburg Lab Cell High-Sugar Diet and Gut Microbiome Diversity: Randomized human trial showing high-fermented low-sugar diet increases microbiome diversity and reduces inflammatory markers (2022) :: Wastyk, H.C. et al. (2021). Gut-microbiota-targeted diets modulate human immune status. Cell, 184(16). Cell Press",,,,
CB-000139,"Adams County Deputies Raided Afroman's Home, Found Nothing, Then Sued Him. He Made Grammy-Nominated Art About It.",afroman-sued-harassers-into-museum-exhibit,anti_racist_heroes,"When police raided his home on a drug tip that yielded nothing, he turned the surveillance footage into art. Then merch. Then a lawsuit.",published,2026-03-22,t,f,3015,,"Court Records: Harassment Civil Suit :: U.S. District Court. (2023). Civil Complaint. Afroman (Joseph Edgar Foreman) v. Montgomery County Sheriff Deputies. Federal Court Public Records.; Recording Academy: Grammy Award Documentation :: Recording Academy. (2001). Grammy Award Recipient Records. Recording Academy, Santa Monica, California.",Afroman (Joseph Foreman),Recording Artist,,2022-08-18
CB-000140,Africa Lost an Estimated $88.6 Billion Per Year to Illicit Financial Flows. The UN Economic Commission for Africa's High-Level Panel Found That the Continent Sends Out More Money Than It Receives.,africa-illicit-financial-flows-88-billion-un-economic-commission-capital-flight,global_south,"The United Nations Economic Commission for Africa's High-Level Panel on Illicit Financial Flows found that Africa loses approximately $50 billion per year to illicit flows, while broader estimates including legal but harmful flows reach $88.6 billion annually — more than the continent receives in foreign aid and investment combined.",published,2026-04-03,f,f,0,,"UNECA High-Level Panel :: United Nations Economic Commission for Africa (2015). Illicit Financial Flows: Report of the High-Level Panel on Illicit Financial Flows from Africa. Chaired by Thabo Mbeki. :: UNECA; Boyce and Ndikumana :: Boyce, James K. and Ndikumana, Leonce (2011). Africa's Odious Debts: How Foreign Loans and Capital Flight Bled a Continent. :: Zed Books; Global Financial Integrity :: Global Financial Integrity (2019). Illicit Financial Flows to and from Developing Countries: 2008-2017. :: Global Financial Integrity",,,,2015-02-01
CB-000141,"Hillsong Founder Brian Houston Resigns After Investigation Finds Misconduct Toward Women, Failure to Report Father's Abuse",brian-houston-hillsong-founder-resigns-misconduct-investigation-2022,religion,"Brian Houston, the man who built Hillsong Church into a global moral authority, resigned in March 2022 after an independent investigation found he had behaved inappropriately toward two women and failed to report his own father's child sexual abuse to police. The irony of a family-values empire collapsing under its founder's personal conduct failures is substantial. This is not a minor footnote.",published,2026-03-22,f,f,0,https://www.abc.net.au/news/2022-03-21/hillsong-church-founder-brian-houston-resigns/100926982,"Hillsong Church: Brian Houston Resignation Statement (March 2022) :: Hillsong Church Global Board. (2022, March 23). Official board statement: Brian Houston resignation. Hillsong Church International, Sydney, Australia.; Australian Charities and Not-for-profits Commission: Hillsong Governance Record :: Australian Charities and Not-for-profits Commission. (2022). Regulatory record. Hillsong Church, Australia.",Brian Houston,"Founder and Global Senior Pastor, Hillsong Church",None,2022-03-21
CB-000142,"A $100-Per-Month College Savings Account Opened at Birth Produces More Than $43,000 by Graduation Day at 7 Percent Return. The Federal Reserve Documents Who Opens One and Who Does Not.",college-savings-529-plan-100-per-month-federal-reserve-data,money_and_power,The math on starting a 529 plan at birth is simple. The Federal Reserve documents which families are doing the math. The difference is not legal eligibility — it is information.,published,2026-04-03,f,f,0,,"CollegeBoard: Trends in College Pricing and Student Aid 2024 :: CollegeBoard. (2024). Trends in College Pricing and Student Aid 2024. New York: CollegeBoard.;Federal Reserve: Survey of Consumer Finances 2022 :: Board of Governors of the Federal Reserve System. (2023). Survey of Consumer Finances, 2022. Washington, D.C.: Federal Reserve.;IRS: Publication 970, Tax Benefits for Education (IRC Section 529) :: Internal Revenue Service. (2024). Publication 970: Tax Benefits for Education. Washington, D.C.: IRS.;FINRA: Compound Interest Calculator (investor.finra.org) :: Financial Industry Regulatory Authority. (2024). Investor Tools: Compound Interest Calculator. investor.finra.org.",,,,2024-08-15
CB-000143,You Cannot Legally Refuse a Super PAC. The Campaign Finance Law That Created Super PACs Also Makes It Illegal to Coordinate Stopping Them.,citizens-united-super-pac-coordination-prohibition-cannot-refuse-fec-record,self_owned,"Citizens United v. FEC was decided 5-4 on January 21, 2010. The coordination prohibition at 11 C.F.R. § 109.20 makes it illegal to coordinate with a Super PAC, including to ask it to stop spending on your behalf. The condemnation and the benefit are both in the public record because the law requires it.",published,2026-04-02,f,f,0,,"Citizens United v. FEC :: 558 U.S. 310 (2010) :: U.S. Supreme Court; FEC Coordination Rules :: 11 C.F.R. §§ 109.20-109.21 :: Federal Election Commission; FEC Form 24 :: 52 U.S.C. § 30104(g) :: Federal Election Commission; DISCLOSE Act Cloture Vote :: Senate Roll Call Vote 220 (July 27, 2010) :: U.S. Senate",,,,
CB-000144,"The March 20, 2026 White House AI Framework Calls for Federal Preemption of State AI Laws. The Lobbying Record and the State Laws It Would Supersede Are Both Public.",white-house-ai-framework-march-2026-federal-preemption-state-ai-laws-lobbying-record,money_and_power,"The White House National Policy Framework for AI, released March 20, 2026, explicitly calls for Congress to preempt state AI laws imposing ""undue burdens."" Colorado's SB 205 is already law. California, New York, and others have active legislation. The lobbying disclosure database at lda.senate.gov documents industry presence in this process.",published,2026-04-02,f,f,0,,"White House National Policy Framework for AI :: March 20, 2026 :: Executive Office of the President (OSTP); Colorado SB 205 (Artificial Intelligence Act) :: May 2024 :: Colorado General Assembly; Lobbying Disclosure Act of 1995 :: Public Law 104-65 :: United States Congress; Federal Preemption Doctrine :: Article VI, Clause 2, U.S. Constitution :: Congressional Research Service",,,,
CB-000145,The SBA Released 525 Billion Dollars in PPP Loan Data. The Congressional Financial Disclosures and the Roll Call Records Are in the Same Public Archive.,ppp-loans-sba-data-congressional-financial-disclosure-roll-call-record,self_owned,"The CARES Act passed 419-6. The SBA released the complete PPP loan dataset on December 1, 2020, after a federal court order. Congressional financial disclosures are public record. The cross-reference between the two databases is a function of public record access, not inference.",published,2026-04-02,f,f,0,,"CARES Act :: Public Law 116-136 (2020) :: United States Congress; SBA PPP Loan Dataset :: Small Business Administration (December 2020) :: U.S. Small Business Administration; WP Company LLC v. SBA :: U.S. District Court, D.D.C. (November 2020) :: Federal Judiciary; House Financial Disclosure Database :: Clerk of the U.S. House of Representatives :: disclosures.house.gov; American Rescue Plan Act :: Public Law 117-2 (2021) :: United States Congress",,,,
CB-000146,Ketanji Brown Jackson Wrote in Her High School Yearbook That She Wanted to Be a Judge. The Federal Record Confirms She Became One. Three Decades of Hard Work Proved It Wasn't DEI.,ketanji-brown-jackson-federal-record-confirmation-hearing,women_and_girls,The American Bar Association interviewed more than 250 attorneys and judges with direct knowledge of her work and rated her unanimously Well Qualified. That is the ABA's highest possible rating. The confirmation hearing transcript is Senate Hearing 117-422. Both documents are public record.,published,2026-03-22,f,t,22,,"Federal Judicial Center: Judicial Biographical Record :: Federal Judicial Center. (2022). Biographical Directory of Federal Judges: Ketanji Brown Jackson. Federal Judicial Center, Washington, D.C.; S. Hrg. 117-422: KBJ Supreme Court Confirmation Hearing :: U.S. Senate Committee on the Judiciary. (2022). Nomination of Ketanji Brown Jackson to be an Associate Justice of the Supreme Court of the United States (S. Hrg. 117-422). U.S. Government Publishing Office.; ABA Standing Committee: Judicial Evaluation :: American Bar Association Standing Committee on the Federal Judiciary. (2022). Evaluation of Nominee Ketanji Brown Jackson: Well Qualified Rating. American Bar Association, Chicago, Illinois.; Harvard Law School: Academic Credential Record :: Harvard Law School. (1996). Juris Doctor Degree. Harvard Law School, Cambridge, Massachusetts.",Ketanji Brown Jackson,"Associate Justice, Supreme Court of the United States",,2022-03-21
CB-000147,Harriet Tubman Never Lost an Enslaved Passenger. Irena Sendler Never Gave Up a Jew. A Primary Source Record of Two Women Who Refused to Fail.,they-did-not-have-to-primary-source-record-human-selflessness,how_it_works,"They had nothing in common. One was a woman born into American slavery who could not read. One was a Japanese diplomat trained in a bureaucracy that valued protocol above everything. One was a Polish Catholic social worker. One was a Soviet submarine officer. One was a United States Army helicopter pilot. One was a British stockbroker who kept a secret for fifty years. One was a village. What they shared was a single decision, made in a specific moment at a specific cost, to place the life directly in front of them above the system telling them to look away. ClownBinge documents two and a half centuries of that decision.",published,2026-03-22,f,t,7,,"National Park Service: Historical Documentation :: National Park Service. (n.d.). Historical Records and Research. U.S. Department of the Interior.; Yad Vashem: Holocaust Documentation :: Yad Vashem Holocaust Memorial Authority. (n.d.). The World Holocaust Remembrance Center. Jerusalem, Israel.; National Security Archive: Declassified Documents :: National Security Archive, George Washington University. (n.d.). Declassified Document Collection. Washington, D.C.; U.S. Army Center of Military History: Official War Records :: U.S. Army Center of Military History. (n.d.). Official Historical Records. U.S. Department of Defense, Washington, D.C.; Imperial War Museum: War Documentation :: Imperial War Museum. (n.d.). Collections and Research Archive. London, United Kingdom.; Bulletin of the Atomic Scientists: Historical Research :: Bulletin of the Atomic Scientists. (1945-present). Published research on nuclear weapons and global security. Chicago, Illinois.; Library of Congress: Primary Source Collections :: Library of Congress. (n.d.). Primary Source Collections. Washington, D.C.",,,,
CB-000148,Diversity Denial: The United States Has Conducted This Experiment Before. The Primary Source Record Shows Exactly What Was Lost.,diversity-denial-primary-source-record-what-was-lost,us_history,"Every time the United States narrowed the pool, the federal record documents a measurable cost. Every time it drew from its full range of human talent, the record documents a measurable return. This is not a debate. This is a ledger.",published,2026-03-22,f,f,5,,"National Archives: Federal Records Collection :: National Archives and Records Administration. (n.d.). Federal Records and Historical Documents. NARA, Washington, D.C.; NASA: Aerospace Innovation Records :: National Aeronautics and Space Administration. (2024). Historical Records and Research Archive. Washington, D.C.; Federal Reserve: Economic Research :: Board of Governors of the Federal Reserve System. (2024). Economic Research and Data Publications. Federal Reserve Board, Washington, D.C.; U.S. Patent and Trademark Office: Patent Records :: U.S. Patent and Trademark Office. (2024). Patent Activity and Innovation Data. U.S. Department of Commerce.; NIH National Library of Medicine: Research Archive :: National Library of Medicine. (2024). Medical Research Collections. National Institutes of Health, Bethesda, Maryland.; American Immigration Council: Immigration Research :: American Immigration Council. (2024). Research and Policy Analysis. American Immigration Council, Washington, D.C.; USDA National Agricultural Library: Agricultural Research :: U.S. Department of Agriculture, National Agricultural Library. (2024). Agricultural Research Collections. Beltsville, Maryland.",United States Federal Government,Federal Institutional Record,,1944-06-22
CB-000149,Chronic Inflammation: The Invisible Fire That Is Burning Through Your Life,chronic-inflammation-invisible-fire-health-inflammaging-CRP,health_and_healing,Claudio Franceschi coined the term inflammaging in 2000 to describe the chronic low-grade inflammatory state that accumulates with age and underlies virtually every major chronic disease. The drivers of that fire are documented. So is what puts it out.,published,2026-04-02,f,f,0,,Franceschi et al. (2000) :: Inflamm-aging: an evolutionary perspective on immunosenescence :: Annals of the New York Academy of Sciences; Hotamisligil (2006) :: Inflammation and metabolic disorders :: Science; Irwin (2015) :: Why sleep is important for health: a psychoneuroimmunology perspective :: Annual Review of Psychology; Cohen et al. (1998) :: Types of stressors that increase susceptibility to the common cold :: JAMA; Ridker et al. (2008) :: Rosuvastatin to prevent vascular events in men and women with elevated C-reactive protein (JUPITER) :: New England Journal of Medicine; Ridker et al. (2017) :: Antiinflammatory therapy with canakinumab for atherosclerotic disease (CANTOS) :: New England Journal of Medicine; Estruch et al. (2018) :: Primary prevention of cardiovascular disease with a Mediterranean diet supplemented with extra-virgin olive oil or nuts (PREDIMED) :: New England Journal of Medicine,,,,
CB-000150,The Tulsa Race Massacre: What the 2001 Commission Report and the Archaeological Evidence Actually Document,Tulsa-race-massacre-1921-Greenwood-Commission-report-aircraft-graves,us_history,"35 blocks burned. Between 100 and 300 dead. Aircraft used in the attack. 6,000 Black residents interned in city camps. Zero insurance dollars paid to any Greenwood property owner. No one charged with a crime. Oklahoma did not officially acknowledge it for 75 years. The 2001 Commission report is specific. So is the archaeological evidence.",published,2026-04-02,f,f,0,,"Oklahoma Commission to Study the Tulsa Race Riot of 1921 (2001) :: Tulsa Race Riot: A Report by the Oklahoma Commission :: Oklahoma Legislature; Ellsworth (1982) :: Death in a Promised Land: The Tulsa Race Riot of 1921 :: Louisiana State University Press; Hirsch (2002) :: Riot and Remembrance: The Tulsa Race War and Its Legacy :: Houghton Mifflin; Hammerstedt et al. (2020) :: Ground-penetrating radar investigation of potential Tulsa Race Massacre burial sites :: Oklahoma Archaeological Survey; Brophy (2002) :: Reconstructing the Dreamland: The Tulsa Race Riot of 1921, Race Reparations, and Reconciliation :: Oxford University Press",,,,
CB-000151,Sleep Is Not Optional: The Sacred Repair Work That Happens As You Sleep,sleep-not-optional-glymphatic-system-brain-repair-sacred,health_and_healing,"In 2013, neuroscientist Maiken Nedergaard discovered that the brain conducts its own waste clearance during sleep, flushing the molecular markers of Alzheimer's disease. The process is almost exclusively active during sleep. There is no substitute. The evidence is in Science, in Nature, and in the 2007 WHO carcinogen classification of night shift work.",published,2026-04-02,f,f,0,,"Xie et al. (2013) :: Sleep drives metabolite clearance from the adult brain :: Science; Lewis et al. (2019) :: Coupled electrophysiological, hemodynamic and cerebrospinal fluid oscillations in human sleep :: Science; Nedergaard (2013) :: Garbage truck of the brain: glymphatic system :: Science; Wilson and McNaughton (1994) :: Reactivation of hippocampal ensemble memories during sleep :: Science; Born et al. (2004) :: Sleep forms memory for finger skills :: PNAS; Walker and van der Helm (2009) :: Overnight therapy? The role of sleep in emotional brain processing :: Psychological Bulletin; van der Helm et al. (2011) :: REM sleep depotentiates amygdala activity to previous emotional experiences :: Current Biology; Irwin (2015) :: Why sleep is important for health: a psychoneuroimmunology perspective :: Annual Review of Psychology; Prather et al. (2015) :: Behaviorally assessed sleep and susceptibility to the common cold :: Sleep; Dinges et al. (2003) :: Sleep inertia and cognitive performance during sustained sleep restriction :: Sleep; IARC Monograph 98 (2010) :: Night shift work as a Group 2A probable human carcinogen :: IARC/WHO",,,,
